time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-06T03:19:52.630Z,35.7664986,-117.6047974,17,7.1,mh,65,43,0.1368,0.29,ci,ci38457511,2019-07-07T01:21:57.330Z,"17km NNE of Ridgecrest, CA",earthquake,0.29,0.72,,0,reviewed,ci,ci
2019-07-04T17:33:49.040Z,35.7051667,-117.506,10.71,6.4,mw,84,23,0.1237,0.19,ci,ci38443183,2019-07-07T00:57:47.306Z,"12km SW of Searles Valley, CA",earthquake,0.15,0.33,,6,reviewed,ci,ci
2019-07-06T03:47:53.400Z,35.903,-117.7458333,3.37,5.5,mw,62,34,0.07446,0.26,ci,ci38457687,2019-07-06T22:38:13.040Z,"15km ESE of Little Lake, CA",earthquake,0.17,0.71,,4,reviewed,ci,ci
2019-07-06T04:18:55.720Z,35.9046669,-117.6823349,2.17,5.44,mw,52,37,0.1186,0.22,ci,ci38457847,2019-07-07T01:18:27.633Z,"20km E of Little Lake, CA",earthquake,0.22,0.63,,6,reviewed,ci,ci
2019-07-06T03:23:50.550Z,35.8001667,-117.6051667,12.43,5.37,ml,21,129,0.01674,0.23,ci,ci37219164,2019-07-06T23:59:51.904Z,"18km WNW of Searles Valley, CA",earthquake,0.44,0.63,0.127,10,reviewed,ci,ci
2019-07-05T11:07:53.040Z,35.7603333,-117.575,6.95,5.36,mw,79,43,0.05824,0.2,ci,ci38450263,2019-07-07T01:07:57.266Z,"16km W of Searles Valley, CA",earthquake,0.13,0.36,,6,reviewed,ci,ci
2019-07-06T03:16:32.310Z,35.7253342,-117.5530014,-0.98,4.97,mw,71,58,0.157,0.19,ci,ci38457487,2019-07-07T00:34:31.061Z,"14km WSW of Searles Valley, CA",earthquake,0.17,0.51,,6,reviewed,ci,ci
2019-07-06T03:25:27.870Z,35.8598333,-117.668,11.21,4.97,ml,17,55,0.07223,0.21,ci,ci37219172,2019-07-06T20:03:32.536Z,"23km ESE of Little Lake, CA",earthquake,0.42,0.74,0.169,7,reviewed,ci,ci
2019-07-06T04:36:55.530Z,35.8938332,-117.7441635,1.52,4.89,mw,41,49,0.08146,0.25,ci,ci38457967,2019-07-07T00:07:30.829Z,"15km ESE of Little Lake, CA",earthquake,0.29,0.52,,4,reviewed,ci,ci
2019-07-06T09:28:28.990Z,35.8978348,-117.7249985,3.87,4.89,mw,58,38,0.09114,0.17,ci,ci38460967,2019-07-06T22:39:53.643Z,"17km ESE of Little Lake, CA",earthquake,0.17,0.52,,6,reviewed,ci,ci
2019-07-06T03:50:59.850Z,35.9001656,-117.7056656,6.64,4.86,mlr,52,37,0.1033,0.24,ci,ci38457703,2019-07-06T18:42:59.204Z,"19km ESE of Little Lake, CA",earthquake,0.23,1.06,0.38,15,reviewed,ci,ci
2019-07-06T04:13:07.090Z,35.5871667,-117.6165,7.94,4.8,mlr,71,38,0.12,0.19,ci,ci38457815,2019-07-06T19:24:20.130Z,"6km SE of Ridgecrest, CA",earthquake,0.14,0.49,0.162,229,reviewed,ci,ci
2019-07-06T03:27:06.250Z,35.9356667,-117.7033333,13.04,4.73,mlr,7,128,0.04467,0.17,ci,ci37219180,2019-07-06T15:53:31.560Z,"18km E of Little Lake, CA",earthquake,1.04,1.25,0.118,5,reviewed,ci,ci
2019-07-06T03:22:03.550Z,35.9221667,-117.7258333,9.14,4.64,mlr,10,68,0.0664,0.09,ci,ci38457519,2019-07-06T20:02:31.830Z,"16km E of Little Lake, CA",earthquake,0.28,0.67,0.148,13,reviewed,ci,ci
2019-07-06T06:01:51.840Z,35.9071655,-117.741333,4.05,4.63,mw,57,36,0.07494,0.19,ci,ci38458679,2019-07-06T18:36:51.311Z,"15km ESE of Little Lake, CA",earthquake,0.18,0.55,,4,reviewed,ci,ci
2019-07-04T18:39:44.440Z,35.6013333,-117.597,2.81,4.59,mw,48,39,0.1109,0.14,ci,ci38443607,2019-07-07T00:59:33.441Z,"7km ESE of Ridgecrest, CA",earthquake,0.13,0.43,,4,reviewed,ci,ci
2019-07-04T18:56:06.420Z,35.716,-117.56,1.92,4.58,mw,82,36,0.1041,0.17,ci,ci38443719,2019-07-06T18:09:49.636Z,"15km NE of Ridgecrest, CA",earthquake,0.09,0.21,,6,reviewed,ci,ci
2019-07-06T08:32:57.540Z,35.6373329,-117.4933319,2.45,4.56,mw,71,39,0.05671,0.21,ci,ci38460311,2019-07-06T20:56:21.982Z,"17km SSW of Searles Valley, CA",earthquake,0.2,0.48,,6,reviewed,ci,ci
