Date,Day,Shirt Color 1,Shirt Color 2,Pants Color
7/1/2019,Monday,White,Brown,Brown
7/2/2019,Tuesday,Black,White,Black
7/3/2019,Wednesday,None,None,Black
7/4/2019,Thursday,None,None,Grey
7/5/2019,Friday,None,None,White
7/6/2019,Saturday,None,None,None
7/7/2019,Sunday,None,None,None
7/8/2019,Monday,Blue,White,Blue
7/9/2019,Tuesday,Black,Red,Black
7/10/2019,Wednesday,Black,White,Black
7/11/2019,Thursday,White,Brown,Brown
7/12/2019,Friday,None,None,None
7/13/2019,Saturday,None,None,None
7/14/2019,Sunday,None,None,None
7/15/2019,Monday,Black,Red,Black
7/16/2019,Tuesday,Blue,None,Teal
7/17/2019,Wednesday,None,None,Grey
7/18/2019,Thursday,White,Brown,Brown
7/19/2019,Friday,None,None,White
7/20/2019,Saturday,None,None,White
7/21/2019,Sunday,None,None,None
7/22/2019,Monday,Orange,Blue,Blue
7/23/2019,Tuesday,Black,Red,Black
7/24/2019,Wednesday,None,None,Teal
7/25/2019,Thursday,White,Brown,Brown
7/26/2019,Friday,Black,White,Black
7/27/2019,Saturday,None,None,None
7/28/2019,Sunday,None,None,Black
7/29/2019,Monday,Blue,White,Blue
7/30/2019,Tuesday,None,None,Grey
7/31/2019,Wednesday,Orange,Blue,Blue
8/1/2019,Thursday,None,None,Brown
8/2/2019,Friday,None,None,White
